id,continent,gadm_level_0,gadm_level_1,gadm_level_2,region_custom,region_detail,iso_2,iso_3,taxa,kingdom,phylum,class,order,family,source_name,source_link,language,year
73,Europe,Austria,Burgenland,,,,AT,AUT,Fauna,Animalia,,,,,Rote liste Burgenland,https://www.naturschutzbund-burgenland.at/sites/default/files/inline-files/Publikationen/Rote%20Liste%201997.pdf,Deutsch,1996
74,Europe,Austria,Burgenland,,,,AT,AUT,Flora,Plantae,,,,,Rote liste Burgenland,https://www.naturschutzbund-burgenland.at/sites/default/files/inline-files/Publikationen/Rote%20Liste%201997.pdf,Deutsch,1996
75,Europe,Austria,Salzburg,,,,AT,AUT,Lepidoptera,Animalia,Arthropoda,Insecta,Lepidoptera,,Rote Liste der Tagfalter Salzburgs,https://www.salzburg.gv.at/umweltnaturwasser_/Documents/Publikationen%20Natur/Naturschutz-Beitrag_45-23_Rotel%20Liste%20der%20Tagfalter%20Salzburgs.pdf,Deutsch,2023
76,Europe,Austria,Salzburg,,,,AT,AUT,Mammals,Animalia,Chordata,Mammalia,,,Die Säugetiere Salzburgs,https://www.hausdernatur.at/de/publikationen-plattform-sauegetiere.html,Deutsch,2014
77,Europe,Austria,Salzburg,,,,AT,AUT,Orthoptera,Animalia,Arthropoda,Insecta,Orthoptera,,Die Heuschrecken Salzburgs,https://www.orthoptera.at/images/Illich_etal_Heuschrecken_Salzburgs_bsp.pdf,Deutsch,2010
78,Europe,Austria,Salzburg,,,,AT,AUT,Amphibians,Animalia,Chordata,Amphibia,,,Atlas und Rote Liste der Amphibien und Reptilien Salzburgs,https://www.salzburg.gv.at/umweltnaturwasser_/Documents/Publikationen%20Natur/07%20Naturschutz-Beitrag_33-06_Amphibien-Reptilien-Atlas-Rote-Liste.pdf,Deutsch,2005
79,Europe,Austria,Salzburg,,,,AT,AUT,Reptiles,Animalia,Chordata,Reptilia,,,Atlas und Rote Liste der Amphibien und Reptilien Salzburgs,https://www.salzburg.gv.at/umweltnaturwasser_/Documents/Publikationen%20Natur/07%20Naturschutz-Beitrag_33-06_Amphibien-Reptilien-Atlas-Rote-Liste.pdf,Deutsch,2005
80,Europe,Austria,Salzburg,,,,AT,AUT,Birds,Animalia,Chordata,Aves,,,Rote Liste der gefährdeten Brutvögel des Bundeslandes Salzburg,https://www.salzburg.gv.at/umweltnaturwasser_/Documents/Publikationen%20Natur/07%20Naturschutz-Beitrag_38-12_Rote-Liste-gef%C3%A4hrdete-Brutv%C3%B6gel-Salzburg.pdf,Deutsch,2012
81,Europe,Austria,Salzburg,,,,AT,AUT,Lichens,Plantae,,,,,Rote Liste der flechten Salzburg,https://www.salzburg.gv.at/umweltnaturwasser_/Documents/Publikationen%20Natur/07%20Naturschutz-Beitrag_18-96_Rote-Liste-Flechten.pdf,Deutsch,1996
82,Europe,Austria,Salzburg,,,,AT,AUT,Magnoliophyta,Plantae,Tracheophyta,,,,Rote liste gefaehrdeter Farn- und Blütenpflanzen des Bundeslandes Salzburg,https://www.salzburg.gv.at/umweltnaturwasser_/Documents/Publikationen%20Natur/07%20Naturschutz-Beitrag_08-96_Rote-Liste-Pflanzen-1996.pdf,Deutsch,1996
83,Europe,Austria,Salzburg,,,,AT,AUT,Ferns,Plantae,Tracheophyta,Polypodiopsida,,,Rote liste gefaehrdeter Farn- und Blütenpflanzen des Bundeslandes Salzburg,https://www.salzburg.gv.at/umweltnaturwasser_/Documents/Publikationen%20Natur/07%20Naturschutz-Beitrag_08-96_Rote-Liste-Pflanzen-1996.pdf,Deutsch,1996
84,Europe,Italy,Bolzano,,,,IT,ITA,Vascular Plants,Plantae,Tracheophyta,,,,Rote liste der gefaehrdeter Gefabpflanzen Südtirols,https://www.zobodat.at/pdf/Gredleriana_006_0115-0198.pdf,Deutsch,2006
85,Europe,Italy,Bolzano,,,,IT,ITA,Orthoptera,Animalia,Arthropoda,Insecta,Orthoptera,,"Rote Liste der gefährdeten Fang- und Heuschrecken Südtirols (Insecta: Orthoptera, Mantodea)",https://www.zobodat.at/pdf/Gredleriana_017_0061-0086.pdf,Deutsch,2017
86,Europe,Italy,Bolzano,,,,IT,ITA,Mantodea,Animalia,Arthropoda,Insecta,Mantodea,,"Rote Liste der gefährdeten Fang- und Heuschrecken Südtirols (Insecta: Orthoptera, Mantodea)",https://www.zobodat.at/pdf/Gredleriana_017_0061-0086.pdf,Deutsch,2017
87,Europe,Italy,Bolzano,,,,IT,ITA,Odonata,Animalia,Arthropoda,Insecta,Odonata,,Rote Liste der Libellen Südtirols (Insecta: Odonata),https://www.zobodat.at/pdf/Gredleriana_018_0027-0045.pdf,Deutsch,2018
88,Europe,Italy,Bolzano,,,,IT,ITA,Birds,Animalia,Chordata,Aves,,,Lista Rossa 2020 degli uccelli nidificanti in Alto Adige,https://www.natura.museum/wp-content/uploads/2020/12/Lista-Rossa-Uccelli-Alto-Adige-Ceresa-Kranebitter-Gredleriana-2020.pdf,Deutsch,2020
89,Europe,Italy,Bolzano,,,,IT,ITA,Bats,Animalia,Chordata,Mammalia,Chiroptera,,Die Fledermäuse Tirols,https://www.zobodat.at/pdf/Natur-in-Tirol_6_0001-0168.pdf,Deutsch,2014
90,Europe,Austria,Wien,,,,AT,AUT,Papilionoidea,Animalia,Arthropoda,Insecta,Lepidoptera,,"Checkliste und Rote Liste der Tagschmetterlinge der Stadt Wien, Österreich (Lepidoptera: Papilionoidea & Hesperioidea)",https://www.zobodat.at/pdf/BEF_3_0103-0123.pdf,Deutsch,2002
91,Europe,Austria,Wien,,,,AT,AUT,Hesperioidea,Animalia,Arthropoda,Insecta,Lepidoptera,,"Checkliste und Rote Liste der Tagschmetterlinge der Stadt Wien, Österreich (Lepidoptera: Papilionoidea & Hesperioidea)",https://www.zobodat.at/pdf/BEF_3_0103-0123.pdf,Deutsch,2002
92,Europe,Austria,Wien,,,,AT,AUT,Bats,Animalia,Chordata,Mammalia,Chiroptera,,Ergänzende Erhebungen und Einschätzung des Erhaltungszustandes der Fledermäuse in Wien,https://www.zobodat.at/pdf/MA22-Wien_71_0001-0110.pdf,Deutsch,2010
93,Europe,Austria,Wien,,,,AT,AUT,Orthoptera,Animalia,Arthropoda,Insecta,Orthoptera,,Die Heuschrecken- und Fangschreckenfauna Wiens,https://www.zobodat.at/pdf/MA22-Wien_10_0001-0053.pdf,Deutsch,1998
94,Europe,Austria,Wien,,,,AT,AUT,Mantodea,Animalia,Arthropoda,Insecta,Mantodea,,Die Heuschrecken- und Fangschreckenfauna Wiens,https://www.zobodat.at/pdf/MA22-Wien_10_0001-0053.pdf,Deutsch,1998
